NumComplaints,Address
205,3971 GOUVERNEUR AVENUE
205,4453 WHITE PLAINS ROAD
205,3343 SEDGWICK AVENUE
205,2342 RYER AVENUE
204,790 CONCOURSE VILLAGE WEST
204,3210 PERRY AVENUE
203,755 JACKSON AVENUE
203,1580 PELHAM PARKWAY SOUTH
202,3235 GRAND CONCOURSE
202,1082 GERARD AVENUE
202,2100 BRONX PARK EAST
202,3115 SEDGWICK AVENUE
202,3435 OLINVILLE AVENUE
201,2685 UNIVERSITY AVENUE
201,2746 DECATUR AVENUE
201,1226 EVERGREEN AVENUE
201,3063 HULL AVENUE
201,2105 CRUGER AVENUE
199,2430 MARION AVENUE
199,3830 BRONX BOULEVARD
198,2055 GRAND CONCOURSE
198,1441 EDWARD L GRANT HIGHWAY
197,3540 DECATUR AVENUE
197,357 EAST 201 STREET
197,853 ELSMERE PLACE
196,1560 PELHAM PARKWAY SOUTH
196,1579 METROPOLITAN AVENUE
196,1005 JEROME AVENUE
196,20 RICHMAN PLAZA
195,1901 LORING PLACE
194,2570 BRIGGS AVENUE
194,1349 STRATFORD AVENUE
194,1250 FRANKLIN AVENUE
193,3108 WILKINSON AVENUE
192,55 EAST MOSHOLU PARKWAY NORTH
192,1075 GRAND CONCOURSE
192,2764 UNIVERSITY AVENUE
191,3677 WHITE PLAINS ROAD
191,1600 SEDGWICK AVENUE
190,214 EAST 203 STREET
190,5400 FIELDSTON ROAD
190,2100 EAST TREMONT AVENUE
190,1035 ANDERSON AVENUE
189,1245 STRATFORD AVENUE
189,600 CONCORD AVENUE
189,1750 GRAND CONCOURSE
189,2723 BARNES AVENUE
188,2418 OLINVILLE AVENUE
187,2885 VALENTINE AVENUE
187,1121 ELDER AVENUE
187,2028 CROSS BRONX EXPRESSWAY
186,3366 DECATUR AVENUE
185,1390 PROSPECT AVENUE
185,3152 HULL AVENUE
185,2605 MARION AVENUE
184,2840 BAILEY AVENUE
184,1186 WASHINGTON AVENUE
183,2754 GRAND CONCOURSE
182,1773 VYSE AVENUE
182,2575 JEROME AVENUE
181,219 EAST  196 STREET
181,2834 HEATH AVENUE
181,2260 OLINVILLE AVENUE
180,1054 SOUTHERN BOULEVARD
180,563 CAULDWELL AVENUE
180,3105 DECATUR AVENUE
179,2320 BRONX PARK EAST
179,1064 FINDLAY AVENUE
179,40 WEST MOSHOLU PARKWAY SOUTH
179,1226 BOSTON ROAD
178,1065 SUMMIT AVENUE
178,2557 MARION AVENUE
177,2080 GRAND CONCOURSE
177,38 ELLIOT PLACE
176,831 BARTHOLDI STREET
176,245 EAST  178 STREET
176,1314 GRAND CONCOURSE
175,2144 BRONX PARK EAST
175,910 GRAND CONCOURSE
175,2020 GRAND CONCOURSE
175,2786 JEROME AVENUE
174,1055 DR M L KING JR BOULEVARD
174,1574 BEACH AVENUE
174,721 EAST  223 STREET
174,1038 WHITE PLAINS ROAD
173,645 EAST  228 STREET
173,2531 OLINVILLE AVENUE
173,2226 LORING PLACE NORTH
173,2132 WALLACE AVENUE
172,1265 GERARD AVENUE
172,1815 MORRIS AVENUE
172,733 ARNOW AVENUE
172,3433 DEKALB AVENUE
171,1220 MORRIS AVENUE
171,135 WEST KINGSBRIDGE ROAD
171,545 EAST  144 STREET
171,2440 BRONX PARK EAST
171,911 WALTON AVENUE
171,685 EAST  183 STREET
170,1314 SENECA AVENUE
170,115 EAST MOSHOLU PARKWAY NORTH
170,2559 SEDGWICK AVENUE
170,3034 KINGSBRIDGE AVENUE
169,2538 VALENTINE AVENUE
169,1006 GERARD AVENUE
168,2108 RYER AVENUE
168,3535 ROCHAMBEAU AVENUE
168,1234 SHAKESPEARE AVENUE
168,2409 BEAUMONT AVENUE
167,1229 CLAY AVENUE
167,833 LONGFELLOW AVENUE
167,17 WEST MOSHOLU PARKWAY NORTH
167,4042 HILL AVENUE
167,105 CLARKE PLACE EAST
167,2474 VALENTINE AVENUE
167,3052 KINGSBRIDGE AVENUE
166,691 GERARD AVENUE
166,3045 GRAND CONCOURSE
166,2454 TIEBOUT AVENUE
166,1098 GERARD AVENUE
166,3343 DECATUR AVENUE
166,1591 TOWNSEND AVENUE
164,1935 ANDREWS AVENUE SOUTH
164,370 BROOK AVENUE
164,2390 CRESTON AVENUE
164,2420 BRONX PARK EAST
163,3182 ROCHAMBEAU AVENUE
163,1290 GRAND CONCOURSE
163,2701 MARION AVENUE
163,3804 GREYSTONE AVENUE
163,2715 GRAND CONCOURSE
163,1904 CROTONA AVENUE
163,3975 CARPENTER AVENUE
162,125 MT HOPE PLACE
162,1928 UNIVERSITY AVENUE
162,1340 STRATFORD AVENUE
161,1691 FULTON AVENUE
161,4464 PARK AVENUE
160,280 EAST  161 STREET
160,1001 DR MARTIN L KING BOULEVARD
160,1001 JEROME AVENUE
160,2465 TRATMAN AVENUE
160,275 EAST GUN HILL ROAD
160,2547 AQUEDUCT AVENUE WEST
160,331 EAST  132 STREET
160,1255 STRATFORD AVENUE
160,782 PELHAM PARKWAY SOUTH
159,861 CROTONA PARK NORTH
159,1893 BELMONT AVENUE
159,2825 CLAFLIN AVENUE
159,2356 WALTON AVENUE
159,2421 WEBSTER AVENUE
159,776 MACE AVENUE
159,2490 TIEBOUT AVENUE
159,495 EAST  188 STREET
158,1580 EDISON AVENUE
158,1266 OLMSTEAD AVENUE
157,710 GERARD AVENUE
157,963 SHERMAN AVENUE
157,820 THERIOT AVENUE
157,2181 WALLACE AVENUE
157,1715 WALTON AVENUE
157,1127 SHERIDAN AVENUE
157,1735 TOWNSEND AVENUE
157,974 ANDERSON AVENUE
157,2192 MORRIS AVENUE
157,1890 CROTONA PARKWAY
156,655 BURKE AVENUE
156,1475 WYTHE PLACE
156,1513 TAYLOR AVENUE
156,2954 GRAND CONCOURSE
155,1560 GRAND CONCOURSE
155,323 EAST GUN HILL ROAD
155,2466 MARION AVENUE
155,65 EAST GUN HILL ROAD
155,745 NEREID AVENUE
154,1380 DR M L KING JR BOULEVARD
154,1505 LELAND AVENUE
154,3990 BRONX BOULEVARD
154,2175 RYER AVENUE
154,289 BONNER PLACE
154,2037 HUGHES AVENUE
154,2608 CRESTON AVENUE
153,975 WALTON AVENUE
153,631 EAST  220 STREET
153,3164 GRAND CONCOURSE
153,1501 UNDERCLIFF AVENUE
153,1694 SELWYN AVENUE
153,1650 HUTCH RIVER PARKWAY EAST
153,4459 MATILDA AVENUE
153,275 EAST 201 STREET
152,1950 BRYANT AVENUE
152,3940 BRONX BOULEVARD
152,2015 DR M L KING JR BOULEVARD
152,1820 CLINTON AVENUE
152,130 WEST  183 STREET
152,679 WARING AVENUE
152,3235 PARKSIDE PLACE
152,3515 ROCHAMBEAU AVENUE
151,3120 WILKINSON AVENUE
151,2121 CEDAR AVENUE
151,1745 EASTBURN AVENUE
150,3030 HEATH AVENUE
150,3800 CARPENTER AVENUE
150,2839 DECATUR AVENUE
150,1231 SHERIDAN AVENUE
150,2760 CRESTON AVENUE
150,2537 VALENTINE AVENUE
150,2238 MORRIS AVENUE
149,2200 TIEBOUT AVENUE
149,1511 SHERIDAN AVENUE
148,968 BRONX PARK SOUTH
148,984 BRONX PARK SOUTH
148,1541 WILLIAMSBRIDGE ROAD
148,2055 HARRISON AVENUE
148,1995 CRESTON AVENUE
148,3414 KNOX PLACE
148,200 WEST KINGSBRIDGE ROAD
147,1920 WALTON AVENUE
147,1485 MACOMBS ROAD
147,1275 EDWARD L GRANT HIGHWAY
147,2201 DAVIDSON AVENUE
147,1777 GRAND CONCOURSE
146,2075 WALLACE AVENUE
146,790 GRAND CONCOURSE
146,2016 MARMION AVENUE
145,2333 LORING PLACE
145,1115 WESTCHESTER AVENUE
145,2707 SEDGWICK AVENUE
144,303 EAST  158 STREET
144,2800 BRONX PARK EAST
144,22 ELLIOT PLACE
143,856 EAST  213 STREET
143,1158 COLGATE AVENUE
143,3322 DECATUR AVENUE
142,2078 MORRIS AVENUE
142,3535 WHITE PLAINS ROAD
142,1133 BOSTON ROAD
142,27 WEST  181 STREET
142,2800 JEROME AVENUE
142,3816 REVIEW PLACE
142,1630 GRAND AVENUE
142,1580 THIERIOT AVENUE
142,1500 NOBLE AVENUE
142,1742 EAST 172 STREET
141,1505 TOWNSEND AVENUE
141,2281 DR M L KING JR BOULEVARD
141,1615 DR M L KING JR BOULEVARD
141,1211 SOUTHERN BOULEVARD
141,3051 DECATUR AVENUE
141,34 METROPOLITAN OVAL
141,1732 VICTOR STREET
140,2575 SEDGWICK AVENUE
140,377 EAST  153 STREET
140,2501 HOFFMAN STREET
140,1704 SEDDON STREET
140,2695 HEATH AVENUE
139,1466 GRAND CONCOURSE
139,1150 GRAND CONCOURSE
139,3040 CRUGER AVENUE
138,546 EAST  182 STREET
138,951 HOE AVENUE
138,3905 CARPENTER AVENUE
138,2405 SOUTHERN BOULEVARD
138,2856 BRONX PARK EAST
138,883 EAST 180 STREET
138,2974 VALENTINE AVENUE
137,3050 PERRY AVENUE
137,1700 MONTGOMERY AVENUE
137,1131 OGDEN AVENUE
137,883 CRANFORD AVENUE
136,2160 WALLACE AVENUE
136,3400 TRYON AVENUE
136,1140 ANDERSON AVENUE
136,2670 BAINBRIDGE AVENUE
136,170 WEST BURNSIDE AVENUE
135,1275 LAFAYETTE AVENUE
135,2272 DR M L KING JR BOULEVARD
135,3764 BRONX BOULEVARD
135,1785 WALTON AVENUE
134,3070 HULL AVENUE
134,2160 BOLTON STREET
134,1025 LONGWOOD AVENUE
134,1366 WHITE PLAINS ROAD
134,2671 MORRIS AVENUE
133,976 PROSPECT AVENUE
133,1420 NOBLE AVENUE
133,800 CONCOURSE VILLAGE WEST
133,2385 CRESTON AVENUE
133,2060 WHITE PLAINS ROAD
133,1520 SEDGWICK AVENUE
133,2001 MORRIS AVENUE
133,1235 GRAND CONCOURSE
133,1898 HARRISON AVENUE
133,789 WARING AVENUE
132,6653 BROADWAY
132,2084 BRONX PARK EAST
132,2115 HONEYWELL AVENUE
132,1171 MORRISON AVENUE
132,2230 DR M L KING JR BOULEVARD
132,681 MAGENTA STREET
131,1362 GRAND CONCOURSE
131,1180 ANDERSON AVENUE
131,2015 CRESTON AVENUE
131,2483 TIEBOUT AVENUE
130,1711 MORRIS AVENUE
129,4064 BRONX BOULEVARD
129,1879 CLINTON AVENUE
129,880 THIERIOT AVENUE
129,54 EAST  176 STREET
129,2197 CRUGER AVENUE
129,117 WEST  197 STREET
129,213 WEST  238 STREET
129,30 EAST  208 STREET
129,547 EAST  168 STREET
128,3031 HOLLAND AVENUE
128,2474 MARION AVENUE
128,54 EAST  179 STREET
128,3395 RESERVOIR OVAL WEST
128,66 WEST GUN HILL ROAD
128,628 COURTLANDT AVENUE
128,245 EAST 178 STREET
127,2910 WALLACE AVENUE
127,2075 HAVILAND AVENUE
127,3300 BAILEY AVENUE
127,17 WEST  182 STREET
127,2155 MOHEGAN AVENUE
126,443 ST ANNS AVENUE
126,1142 COLLEGE AVENUE
126,1070 OGDEN AVENUE
126,230 EAST 202 STREET
126,950 WOODYCREST AVENUE
126,3871 SEDGWICK AVENUE
125,985 ANDERSON AVENUE
125,2280 OLINVILLE AVENUE
125,1925 ANDREWS AVENUE SOUTH
125,2848 KINGSBRIDGE TERRACE
125,820 COLGATE AVENUE
125,2842 GRAND CONCOURSE
125,2324 MORRIS AVENUE
125,2100 WALLACE AVENUE
124,237 WEST  230 STREET
124,2008 BRYANT AVENUE
124,1292 WASHINGTON AVENUE
124,3004 ALBANY CRESCENT
124,2055 CRUGER AVENUE
124,549 COMMONWEALTH AVENUE
124,2001 STORY AVENUE
124,150 WEST  197 STREET
124,497 EAST  156 STREET
123,2311 SOUTHERN BOULEVARD
123,4210 DIGNEY AVENUE
123,3961 CARPENTER AVENUE
123,2847 WEBB AVENUE
123,1985 CRESTON AVENUE
122,1240 WASHINGTON AVENUE
122,1964 CLINTON AVENUE
122,1775 DAVIDSON AVENUE
122,953 ANDERSON AVENUE
122,920 WESTCHESTER AVENUE
121,741 HUNTS POINT AVENUE
121,1850 PHELAN PLACE
121,3054 BUHRE AVENUE
121,1664 MACOMBS ROAD
121,94 WEST  183 STREET
121,2081 GRAND CONCOURSE
121,530 EAST  234 STREET
121,175 EAST  151 STREET
121,1565 THIERIOT AVENUE
121,730 BECK STREET
121,4303 BAYCHESTER AVENUE
121,1821 TOPPING AVENUE
121,85 STRONG STREET
121,770 GARDEN STREET
121,2270 WALTON AVENUE
121,1517 TAYLOR AVENUE
120,3636 GREYSTONE AVENUE
120,2492 DEVOE TERRACE
120,900 LYDIG AVENUE
120,2229 CRESTON AVENUE
120,2170 DR M L KING JR BOULEVARD
120,1327 SOUTHERN BOULEVARD
120,3377 WHITE PLAINS ROAD
119,928 KELLY STREET
119,1115 BOSTON ROAD
119,2250 GRAND CONCOURSE
119,2113 BELMONT AVENUE
119,1384 BRISTOW STREET
119,2017 MORRIS AVENUE
119,4124 BRONXWOOD AVENUE
119,3035 WHITE PLAINS ROAD
119,2526 BRONX PARK EAST
119,1065 WOODYCREST AVENUE
